ID,Entry,OriginalEmotion
1,her yeni gün bir mutluluk,Happy
2,gece kimsenin olmadığı sokaklardan geçerken çok korkarım,Fear
3,gerçekleşemeyen hayaller,Anger
4,arkadaş kaybetmek beni üzüyor,Sadness
5,insanların çıkarcı olmalarından tiksiniyorum,Disgust
6,hiç beklemediğim anda sürprizle karşılaşmak beni şaşırtır,Surprise
7,Ailemle tatile çıktığımda çok sevindim.,Happy
8,Rüyamda babamın öldüğünü gördüğümde çok korkmuştum.,Fear
9,Daha taksiti bitmemiş bilgisayarımı ben uyurken otobüsten çalınmasına çok öfkelendim.,Anger
10,Annemin üzüldüğünü gördüğümde üzülüyorum.,Sadness
11,Yalan söylenmesinden tiksiniyorum.,Disgust
12,Lise arkadaşımın evlendiğini gördüğümde şoka uğradım.,Surprise
13,Derslerin hepsini istediğim şekilde verince çok sevindim.,Happy
14,Rüyalar beni çok korkutuyor.,Fear
15,İnatçı insanlarla tartışmak beni çok sinirlendiriyor.,Anger
16,Fenerbahçe'nin yenilmesi içimi acıtıyor.,Sadness
17,Yemekten kıl çıkması beni öldürüyor.,Disgust
18,Geçerim dediğim dersten kalma durumuna gelmem beni çok şaşırtıyor.,Surprise
25,"
      Scuba yaptığım zaman mutlu olurum.
      Okulda ders iptal olduğu zaman mutlu olurum.
    ",Happy
26,"
      Doğada zehirli bir hayvan tarafından ısırılmaktan korku duyarım.
      Pisi pisine ölmekten korku duyarım.
    ",Fear
27,Mesajlarımın görülüp cevap verilmemesine öfke duyarım.,Anger
28,Çocukken sahip olduğum köpek aniden öldüğünde çok üzüldüm.,Sadness
29,Köpek sahibi insanların köpeklerini dışarı çıkarmamasından tiksiniyorum.,Disgust
30,Eski bir arkadaşımla uzun süreden sonra karşılaşınca şaşırırım.,Surprise
31,herhangi bir dersi CC üstü bi notla geçersem mutlu oluyorum,Happy
32,herhangi bir dersten DD altı bir notla kalmaktan korkuyorum,Fear
33,herhangi bir dersten DD altı bir notla kalırsam öfkeleniyorum,Anger
34,herhangi bir dersten DD altı bir notla kalırsam üzülüyorum,Sadness
35,herhangi bir dersten DD altı bir notla bırakan hocadan tiksiniyorum,Disgust
36,herhangi bir dersi CC üstü bir notla geçersem şaşırıyorum,Surprise
37,bir hanım arkadaşımızla 45 dakika süren zorlu bir spor müsabakasını galibiyetle kapayınca anlık bir mutluluk yaşadım.,Happy
38,"en büyük korkum korkunun kendisidir. bence bu çok asilce, peki ya sizce?",Fear
39,arkadaşım kolamın içerisine mentos atıp kaçtığında ciddi manada köpürmüştüm.,Anger
40,"digimon da wizardmon un öldüğü sahnede adeta içimden bir şeyler kopmuş, yüreğimden sonsuzluk diyarına gemiler kalkmıştı.",Sadness
41,"ne zaman küçük bir sinek görsem beni tiksindirir, midemi bulandırır.",Disgust
42,arkadaşım cinsiyetim hakkında yanılmış. bu beni çok şaşırttı.,Surprise
43,Özlediğim biriyle görüşmek,Happy
44,Karşıdan karşıya geçerken otobüsü gördüğümde korkmuştum,Fear
45,Kandırıldım,Anger
46,Geçmişte kaçırdığım fırsatlar beni üzüyor,Sadness
47,Bir korku filminin afişi,Disgust
48,Uzun zamandır görmediğim kuzenimin yürüdüğünü görünce,Surprise
49,Annem kolyenin yenisini alınca çok mutlu oldum.,Happy
50,Babam hastahaneye kaldırılınca ona bir şey olursa diye çok korktum.,Fear
51,Benim hakkımda yalan söylendiğini duyunca çok sinirlendim.,Anger
52,Kendi paralarımı biriktirip aldığım altın kolyemi kaybedince çok üzüldüm.,Sadness
53,Otobüsteki adamın burnunu karıştırdığını görünce midem bulandı.,Disgust
54,Dom sınavına o kadar çalıştıktan sonra kötü geçtiğini görünce inanamadım.,Surprise
55,DOM Lab'ı erken bitti.,Happy
56,Lab sorusunu yapamayacağım diye çok korktum.,Fear
57,Sabah servise binerken önüme kaynak yapmasınlar artık.,Anger
58,Kayahan'ın vefatı beni derinden etkiledi.,Sadness
59,Bu hayattan bıktım artık,Disgust
60,Öğrenciler sorduğum bir soruyu yanlış cevapladı.,Surprise
61,Dersler bitince mutlu oluyorum,Happy
62,Kopya çeker de yakalanırsam diye çok korktum,Fear
63,Dom ödevi verdiklerinde çok sinirlendim,Anger
64,Ödevin zor olduğunu görünce öfke yerini hüzne bıraktı,Sadness
65,100 alanları görünce tiksiniyorum,Disgust
66,ödevden 100 alınca çok şaşırdım,Surprise
67,yeğenlerim benim mutluluk kaynağımdır. bana dayı dediklerinde bütün dünya benim olur.,Happy
68,ablamlar kaza yaptığında çok korktum.,Fear
69,bayrağıma ve milli değerlerimden birine kötü söz söylendiğinde.,Anger
70,reddedildiğim zaman.,Sadness
71,domatesten tiksiniyorum .,Disgust
72,yazdığım sallama kod çalışınca ağzım açık kaldı.,Surprise
73,sınavlardan iyi notlar aldığımda ya da gerçekten insanlara bir yararım dokunduğunda mutlu olurum.,Happy
74,eve hırsız girdikten sonra evde tek kaldığım için geceleri ışık açık uyuyorum.,Fear
75,"otobüste değil ama bayram dönüşü eve hırsız girdiğinde, hem bir takım şeyleri aldığı, hem de polisin bir sürü zamanımı aldığı için çok öfkelenmiştim",Anger
76,"civciv, balık ve benzeri hangi hayvan ölürse ölsüm çok üzüldüm. bir süre sonra hayvan almamaya ve bakmamaya başladım. Ölmelerini kaldıramıyorum hiçbir şekilde",Sadness
77,ikisinden de tiksinmiyorum,Disgust
78,öyle bir durum yok,Surprise
79,Galatasaray'ın galibiyetine çok mutlu oluyorum,Happy
80,Eskiden gece tek başıma karanlıkta korku filmi izlediğimde çok korkardım.,Fear
81,İddaa kuponum tek maçtan yatınca çok öfkeleniyorum.,Anger
82,Dedem vefat ettiğinde çok üzülmüştüm.,Sadness
83,Evde veya arabada sigara içilmesinden nefret ediyorum.,Disgust
84,Hiç ummadığım bir yerde uzun zamandır görüşmediğim arkadaşımla karşılaştığımda şaşırıyorum.,Surprise
85,Ödevi tamamlamak,Happy
86,Ödevden düşük almak,Fear
87,Ödevde yapamadığım şeyin tekrar etmesi,Anger
88,Kuşumun öldüğü zaman,Sadness
89,Tripofobi,Disgust
90,Hocamızın dersi erken bitirmesi,Surprise
91,uyuduğum zamanlar.,Happy
92,ödevi kaydetmediğimi düşündüğüm an.,Fear
93,haksızlığa uğrayan birini gördüğümde .,Anger
94,okula her gün bir buçuk saatte gelmek.,Sadness
95,yere çöp atan insanlardan.,Disgust
96,annemin yeni aldığı yemek tariflerine.,Surprise
97,Evime giderken mutlu oluyorum.,Happy
98,Fizik vizem açıklanırken kalbim deli gibi atıyor.,Fear
99,Soru sormak için hocaya gittiğimde oyun oynadığını söylediğinde öfkelendim,Anger
100,Evimden ayrılırken üzülüyorum.,Sadness
101,Oda arkadaşımın bütün gece horlaması,Disgust
102,Cebimde geçen kıştan 50 lira bulunca şaşırdım.,Surprise
103,Ödevler projeler bitti.,Happy
104,memlekete giderken kaza yaptık çok ürkütücüydü.,Fear
105,projemi yetiştiremedim.,Anger
106,iyi beklediğim sınav kötü geldi.,Sadness
107,Yurdun pisliğinden bıktım.,Disgust
108,düşük beklediğim sınavın sonucu yüksek geldi.,Surprise
109,sevdiklerimle hep beraber olduğum anlarda mutlu olurum.,Happy
110,üniversite sınavının sonucunu beklerken korktum.,Fear
111,ahmak yerine konduğumda öfkeli olurum.,Anger
112,kız arkadaşımdan ayrıldıktan sonra üzüntülü olurum.,Sadness
113,yemeğimin içinde yüzen sinek beni tiksindirir.,Disgust
114,uzun zamandır göremediğim arkadaşımı gördüğüm zaman şaşırmıştım.,Surprise
115,cuma akşamları eve geldiğimde.,Happy
116,yanlış ödevi yüklediğimi fark ettiğim an.,Fear
117,proje bitince ödev. ödev bitince proje verilmesi.,Anger
118,otobüsü kaçırmak.,Sadness
119,okulun lavabolarından tiksiniyorum.,Disgust
120,segmentation fault almamak.,Surprise
121,Gs UEFA kupasını aldığında çok mutlu olmuştum.,Happy
122,"Karşımda üç köpek görünce biraz şaşırdım ama büyük bir sıkıntı yoktu, ta ki son hızla beni kovalamaya başlamalarına kadar...",Fear
123,Fenerbahçe şike yapınca çok öfkelendim.,Anger
124,Dom ödevini gördükten sonra çok üzüldüm...,Sadness
125,"Evime bir misafir geldiğinde, 'Sigara içebilir miyim?' sorusunu sormasından hoşlanmıyorum.",Disgust
126,Lisede İngilizce sınavından 100 alınca çok şaşırmıştım.,Surprise
127,yani üniversiteyi kazandığımda tabii ki de,Happy
128,küçükken arkadaşlarla eski içinde kimse yaşamayan bir konağa girmiştik. ama aslında orada bir evsiz yaşıyormuş. Tam göremedim ama elinde orak gibi bir şeyle bizi kovalamıştı. Altıma etmiştim,Fear
130,küçükken tavşanım vardı. Evde beslerdim. Bağa gittiğimde doğaya bırakırdım gezsin tozsun diye ama akşam vakti eve geri dönecekken çok zor geri yakalardım hep benden kaçardı. çok üzülürdüm.,Sadness
131,yani yurtta kalıyorum. Oda arkadaşlarımın bazı davranışlarından bıkmadım değil. eve çıkacağım zaten,Disgust
132,ben babamın askerden dönüşünü hatırlıyorum. yani küçük olduğumdan ne hissettiğimi hatırlamıyorum açıkçası,Surprise
133,ilk kez dayı olmuştum hayretler içerisinde yeğenime sarıldım,Happy
134,ilk kez dişçiye gittiğimde çok korkmuştum,Fear
135,Her zamanki günlerden biriydi otobüse binmiştim ancak inerken birde baktım ki cüzdanım çalınmış çok öfkelendim,Anger
136,10 yaşındayken karabaş adında bir köpeğim vardı karşıdan karşıya geçerken araba çarptı ve öldü,Sadness
137,evimde ben de dahil sigara içemem ve içmelerine izin vermem. Ancak bir gün misafirlerden birisi geldi ve sigara içebilir miyim dedi. hayır diyemedim yakın akrabaydı ama tiksiniyordum.,Disgust
138,oğlum askerdeydi ve daha 6 ay gelmesini beklemiyordum. Ancak bir sabah kapı çaldı ve bir de baktım ki karşımda oğlum,Surprise
139,"kaç aydır amaçladığım bir hedefe yaklaşınca,ulaşmaya ramak kalınca kendimi huzurlu ve mutlu hissederim",Happy
140,"Hiçbir çorabımın yıkalı olmadığını fark edip,kalan tek çorabın diğer çiftinin olmadığını öğrendiğimdeki korku dolu an",Fear
141,"Önümdeki dolmuş şoförü,bencilce sinyal vermeden durduğunda hissettiğim  öfke.",Anger
142,ailemi kaç ay görmeyince duyduğum hüzünle dolu özlem duygusu,Sadness
143,bir insanın doymak bilmeyen sonsuz egosuyla övünerek konuşması,Disgust
144,aldığım notun beklemediğimden düşük çıkması,Surprise
145,uzun süredir görüşmediğim ailem ile bir raya geldiğimde çok sevindim,Happy
146,en son ne zaman korku hissettiğimi hatırlamıyorum,Fear
147,daha önce verilmiş olan söz unutulduğunda çok öfkelendim,Anger
148,kaybettiğim yakınlarımı düşündüğümde büyük üzüntü hissediyorum,Sadness
149,Bütün gün uyuyup hiçbir şey yapmamaktan tiksiniyorum,Disgust
150,Yıllardır görmediğim arkadaşım ile karşılaştığımda şaşırdım,Surprise
151,Şu anda okumakta olduğum üniversiteyi kazandığımı öğrenince çok sevinmiştim,Happy
152,Küçükken beni iki köpek kovalamıştı ve yabancı bir yerde olduğum için saklanabileceğim bir yer yoktu,Fear
153,Daha önce kaldığım yurtta birden çok kez haklı olmama rağmen haksız duruma düşürülmem beni çok sinirlendirdi,Anger
154,DOM dersinin ödevi ve lab puanlama sistemi beni çok üzdü,Sadness
155,Eski oda arkadaşlarımın iğrenç davranışlarından bıktım,Disgust
156,Yeni tanıştığım insanların benim hakkımda edindikleri fikirler beni şaşırtıyor,Surprise
157,dersi aa notu ile geçmek,Happy
158,1.8 ortalamanın altında kalmak,Fear
159,derse hiç gelmeyen arkadaşımın benden fazla var yazılması,Anger
160,fd notu ile kaldığımı görünce,Sadness
161,derslerin lablarından ve ödevlerinden,Disgust
162,ödevlerde en az 50 almak şart olduğunu öğrendiğimde,Surprise
175,ben küçük bir çocukken yanıma yanaşan amca şekerin pantolonunun cebinde olduğunu söylediğinde çok mutlu olmuştum.,Happy
176,ben küçük bir çocukken arabayla yanıma yanaşan amca şeker vermeyi teklif ettiğinde korku dolu anlar yaşamış avazım çıktığınca bağırmıştım.,Fear
177,ben küçük bir çocukken arabayla yanıma yanaşan amca vaat ettiği şekeri vermeyince öfkelenmiştim.,Anger
178,o acı tecrübenin sonunda en azından bir şeker alamamak beni gerçekten üzen tek şeydi,Sadness
179,amcanın şeker olduğunu söylediği şeyin şeker olmadığını iş işten geçtikten sonra fark ettiğimde tiksinmiştim,Disgust
180,bu beni şaşırtmıştı da aynı zamanda,Surprise
182,Dün akşam iflah olmaz bir alkolik olduğumu anladım ve kendimden korktum.,Fear
183,Kütahya'ya muazzam bir terminal yapıldığında çok öfkelendim. Hatta kendime zarar verdim.,Anger
184,Pokemon dizisinde Pikachu-Ash ayrılığında ağlamıştım. Kimseye söylemedim ama gözümden süzülen yaşlara engel olamadım.,Sadness
185,Arkadaşımın cinsiyeti hakkında yanılmışım. Doğrusunu öğrendiğimde tiksindim ve uzaklaştım.,Disgust
186,Amcamın mesleğini öğrendiğimde çok şaşırmıştım. Kendisi fakir genç kızların geçimine yardımcı oluyordu.,Surprise
187,Galatasaray'ın şampiyonluğu beni çok mutlu etti.,Happy
188,Yaklaşan DOM ödevinden çok korkuyorum.,Fear
189,Lab da bilgisayar yanlışlıkla kapandığında sinirlerime hakim olamadım.,Anger
190,Projeyi tamamlayamayınca çok üzüldüm.,Sadness
191,Sürekli verilen ödevlerden bıktım,Disgust
192,Logic dersinde AA notu gelince şok oldum.,Surprise
193,projeyi bitirmekten çok mutluluk duyarım,Happy
194,projeyi bitirememekten çok korkarım,Fear
195,projeyi tam anlatamayan hocalara çok öfkelenirim,Anger
196,projeden kalmaktan üzüntü duyarım,Sadness
197,çalışmayan proje arkadaşından tiksinirim,Disgust
198,proje kodu atan arkadaşlara çok şaşırırım,Surprise
199,Bu labı bütün öğrenciler anlamış ve 100 almış şekilde tamamlayacaklar. Akşam hepimiz rahat uyuyacağız.,Happy
200,DOM labı geç biter diye düşünceler bastı...,Fear
201,Yine mi ödev! Hep ödev hep ödev!,Anger
202,Bisküviyi marketin 2 katı fiyatına satan bir kantinimiz var. 75 kuruşa satılan bisküviye 1 lira 50 kuruş verdiğim için çok üzüldüm.,Sadness
203,Yola tükürmek ya da izmarit atmak pek hoş değil sanki.,Disgust
204,Çayı yeni demlemişler sanmıştım fakat çok beklemiş. Oysa ki yeni demlediklerine emindim.,Surprise
205,Hiç beklemediğim bir yerden para gelmesine çok sevindim,Happy
206,İlk kez korku filmi seyrettiğimde etkisi altında kalıp uyuyamamıştım,Fear
207,İnsanların yardıma ihtiyacı olup yardım edip ben yardım istediğim zaman kimsenin bana yardım etmemesine çok sinir olurum,Anger
208,Vefat eden dayımı düşünmek içimi çok acıtıyor.,Sadness
209,Evde bozulan şeyleri görüp onları atarken çok tiksinirim,Disgust
210,Paramın az harcadığım halde en son baktığımda hiç kalmamasına çok şaşırdım,Surprise
211,Çayı başkasının demlemesi,Happy
212,Yükseklik,Fear
213,Gıcıklık yapılması,Anger
214,Vefat,Sadness
215,Birisinin yanımda kusması;,Disgust
216,sürpriz yapılması,Surprise
218,gece yatarken nereden geldiğini anlayamadığım sesler,Fear
219,ev arkadaşımın haddinden ağır lafları,Anger
220,vefat eden akraba,Sadness
221,arkadaşlarımın evine gittiğimde mutfakta aylardır yıkanmayan tencerelerin kokusu,Disgust
222,alakasız iki insanın birbirini bulup sevgili olması,Surprise
223,Ne yaptığımı bilmeden yazdığım kod doğru çıktı verince seviniyorum.,Happy
224,İri kıyım 3 5 kişiden dayak yemekten korkuyorum.,Fear
225,Arkadaşım haksızlığa uğradığında çok öfkeleniyorum.,Anger
226,"USB Belleğimi ve zippomu kaybettiğimde çok üzüldüm, ayrıca ölüm o kadar da üzülmeye değer bir şey değil. Doğum gibi sıradan bir olay.",Sadness
227,"Kezban kızlar ağzını yaya yaya konuştuğunda, o ve onun gibilerden tiksiniyorum.",Disgust
228,Herhangi bir dersten bütünleme sınavına girmeden geçince çok şaşırıyorum.,Surprise
229,2 yaz önce ilk defa İngiltere'ye gittiğim zaman çok mutlu oldum.,Happy
230,2005 yılında evde yalnızken şiddetli bir deprem olduğunda çok korkmuştum.,Fear
231,Arkadaşlarımın bana kazık atması beni çok öfkelendirir.,Anger
232,Annemin hasta olduğunu öğrendiğim gün çok üzüldüm.,Sadness
233,Birinin karşımda ağzını şapırdatarak yemek yemesinden tiksinirim.,Disgust
234,doğum günümde evde hasta olarak yattığını söyleyen erkek arkadaşımı eve gelince birden karşımda görünce çok şaşırmıştım.,Surprise
235,Jessie-j konserine gideceğim için çok mutluyum.,Happy
236,Projeden korkuyorum,Fear
237,Yine mi ödev bıktım,Anger
238,hava soğuk ve yağmurlu olduğu için çok mutsuzum.,Sadness
239,ödevlerden tiksiniyorum,Disgust
240,şarjımın bittiğini görünce çok şaşırdım.,Surprise
