,Unnamed: 0,text,canonical
0,0,#ÇokGüzelHareketler2 oyle böyle saçma değil. Alkışlarda ayıp olmasın diye herhalde :),#çokgüzelhareketler2 öyle böyle saçma değil . alkışlarda ayıp olmasın diye herhalde :)
1,1,Kredi borclarimin bir kismini Zekat weriyorum. ihtiyac sahipleri lutfen sirayla adini yazsin listeye :),kredi borçlarımın bir kısmını zekat veriyorum . ihtiyaç sahipleri lütfen sırayla adını yazsın listeye :)
2,2,"Gereksiz bilgi, soruyu ben sordum :) …","gereksiz bilgi , soruyu ben gördüm :)   …"
3,3,"Sil sil, detayları bilahere konuşuruz.. :))","sil sil , detayları bilahare konuşuruz . . :) )"
4,4,bebişin miyim gerçekten :) …,bebişim mıyım gerçekten :)   …
5,5,Tam zamanında okudum bunu hkvklb :),tam zamanında okudum bunu hkvklb :)
6,6,Karedeki tüm içli köfteleri göz açıp kapayana kadar gömerim :),karedeki tüm içli köfteleri göz açıp kapayana kadar gömerim :)
7,7,Biraderim bizim kaderimiz bu :))),biraderim bizim kaderimiz bu :) ) )
8,8,Hepsinden birer tane var ne yapacağız şimdi :),hepsinden birer tane var ne yapacağız şimdi :)
9,9,:)) ben de aynı şeyi yaşıyorum.. Şu an bile yaşadım mesela :)) derdinden değil ama... ,:) ) ben de aynı şeyi yaşıyorum . . şu an bile yaşadım mesela :) ) derdinden değil ama ...
10,10,alınması gereken kare :)pic.twitter.com/tNZjiDHpaX,alınması gereken kare :) piç . twitter.com/tnzjidhpax
11,11,Artık kimseyi ne seviyorum Ne nefret ediyorum çünkü hafıza kaybı yaşadım ve bu bana çok iyi geldi :),artık kimseyi ne seviyorum ne nefret ediyorum çünkü hafıza kaybı yaşadım ve bu bana çok iyi geldi :)
12,12,Düşünsenize sabah bir uyanıyoruz her yer karla kaplı :) #Ankara,düşünsenize sabah bir uyanıyoruz her yer karla kaplı :) #ankara
13,13,yeni heyecanlar yeni hevesler ve yeni mutluluklar :)),yeni heyecanlar yeni hevesler ve yeni mutluluklar :) )
14,14,"Tamam olm abartıyor olabilirim, mutluyum tabi ama sen daha dur yahu bismillah aşka inanmayan edebiyat adamı olur mu hiç? :)","tamam olum abartıyor olabilirim , mutluyum tabii ama sen daha dur yahu bismillâh aşka inanmayan edebiyat adamı olur mu hiç ? :)"
15,15,menşındaki kelimelerden sadece 3 tanesini biiyorum galiba dkskdhshd bu kadar güvendiğiniz için teşekkürler güveninizi boşa çıkarmamak bize de sürpriz olur :D tamam yine mantıklı dil seçmişim :dd,Mans'ındaki kelimelerden sadece 3 tanesini biliyorum galiba dkskdhshd bu kadar güvendiğiniz için teşekkürler güveninizi boşa çıkarmamak bize de sürpriz olur : d tamam yine mantıklı dil seçmişim : dd
16,16,her oyunun bir kuralı vardır :),her oyunun bir kuralı vardır :)
17,17,Harika bir sanat eseri cidden :)),harika bir sanat eseri cidden :) )
18,18,El bombası Ivanildoyu çaylak hüseyin i ağır campi yi mi :)) yapma kardeşim yapma bu adamların kapasitesi belli bu adamlardan daha fazlası çıkmaz,el bombası ıvanıldoyu çaylak hüseyini ağır campı yi mi :) ) yapma kardeşim yapma bu adamların kapasitesi belli bu adamlardan daha fazlası çıkmaz
19,19,"1. sensin tombiş tombalak 
2. hepsini analiz etmedim, soldaki kuçu çok silikti, es geçtim :)","1. sensin tombik tombalak 2. hepsini analiz etmedim , soldaki kaç çok silikti , es geçtim :)"
20,20,Maçın alınmasına sebep olan hamle mi :-),maçın alınmasına sebep olan hamle mi :-)
21,21,Pursaklar da inceden inceden yağıyor tam eline çay alıp yağısı seyretme havası :),pursaklar da inceden inceden yağıyor tam eline çay alıp yağısı seyretme havası :)
22,22,Yazışmanın davamında sizi mentiona qoymarıq :),yazışmanın davasında sizi mentiona qoymarıq :)
23,23,"6 yaşındaki yeğenimle anlaştık. eğer gece korkarsam, kötü rüya görürsem  onun yanina gideceğim.. tabi tersi onun için de geçerli... :)","6 yaşındaki yeğenimle anlaştık . eğer gece korkarsam , kötü rüya görürsem onun yanına gideceğim . . tabii tersi onun için de geçerli ... :)"
24,24,#ReyyanGüzelGiyinsin Bir bu kaldıydı karışmadık sonunda onada karıştınız..Bi durun ya.. Ne giyerse giysin..Reyyan size karışıyor mu.. Bi rahat bırakın insanları ... Hür irade var.. Umarım bana karışmasınız :)))))),#reyyangüzelgiyinsin bir bu kaldırdı karışmadık sonunda ona da karıştınız . . bir durun ya . . ne giyerse giysin . . reyyan size karışıyor mu . . bir rahat bırakın insanları ... hür irade var . . umarım bana karışmasını :) ) ) ) ) )
25,25,Senai Demirci de değerli bir büyüğümüz :)) Bir program vasıtasıyla bir konu danışmak için rahatsız etmiştik zamanında iletişimimiz böyle oldu,senai demirci de değerli bir büyüğümüz :) ) bir program vasıtasıyla bir konu danışmak için rahatsız etmiştik zamanında iletişimimiz böyle oldu
26,26,"Hanımlar :) Kadın Erkek eşitliğini yanlış anlıyorsunuz, öyle bıyık bırakmakla olmaz bu işler..","hanımlar :) kadın erkek eşitliğini yanlış anlıyorsunuz , öyle bıyık bırakmakla olmaz bu işler . ."
27,27,ibneliğin lüzmü yok dedik götü başı dağıttınız :)),ibneliğin lüzum yok dedik götü başı dağıttınız :) )
28,28,Kaan bu kaçıncı abi ya artık evlen :) #Şavaşçı,kaan bu kaçıncı abi ya artık evlen :) #savaşçı
29,29,İlk kez yaptım beklerim hocamm :),ilk kez yaptım beklerim hocam :)
30,30,Tamam kardeşim bizde bekarız ama hiç bu kadar bekar olmadık :),tamam kardeşim bizde bekarız ama hiç bu kadar bekar olmadık :)
31,31,Ela o zaman :),ela o zaman :)
32,32,Efendim :),efendim :)
33,33,saçını başını yolucam unutturma :) hahahah,saçını başını yolacağım unutturma :) hahhah
34,34,"1899 Los Angeles. Dakikası 50 sentmiş, Instagram vs ayrı ücret :)pic.twitter.com/dXq1CzJ0jM","1899 los angeles . dakikası 50 sentmiş , instagram vs ayrı ücret :) piç . twitter.com/dxq1czj0jm"
35,35,bizi bu ferda mahvetti asdfgghjk :D,bize bu ferda mahvetti asdfgghjk : d
36,36,"yine de nefis bir anı hatıra, ömürlük :)","yine de nefis bir anı hatıra , ömürlük :)"
37,37,Sözümü aldım ben :)),sözümü aldım ben :) )
38,38,aynı numaralara oynayayım :D,aynı numaralara oynayayım : d
39,39,Cevap ne sizce :Dpic.twitter.com/uXHJ4W1Vej,cevap ne sizce : piç . twitter.com/uxhj4w1vej
40,40,Turuncu bi ateş gibi sıcaksın :),turuncu bir ateş gibi sıcaksın :)
41,41,Ömer Bayram Kırmızı çizgimizdir :),ömer bayram kırmızı çizgimizdir :)
42,42,Çok karışık anlatıyorum derdimi. Karakter sınırından hep bunlar. :) …,çok karışık anlatıyorum derdimi . karakter sınırından hep bunlar . :)   …
43,43,Tavşan dağa küsmüş dağın haberi olmamış sövsende jackin haberi olmaz sanırım :),tavşan dağa küsmüş dağın haberi olmamış sövsene jackın haberi olmaz sanırım :)
44,44,onu bi kıtla melih abisi :))))))))))))))))),onu bir kitle melih abisi :) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) )
45,45,Onu biliyorum. :) bidat ehli şeytan kadar değerin yok.,onu biliyorum . :) bidat ehli şeytan kadar değerin yok .
46,46,Gerdiniz yeter şimdi gevşetin :D:D:D,gerdiniz yeter şimdi gevşetil : d : d : d
47,47,Yani yasımız cok kurtarmıyo PROF için. Şimdilik beyin ve sinir cerrahıyım :),yani yaşımız çok kurtarmıyor prof için . şimdilik beyin ve sinir cerrahiyim :)
48,48,Zaten ateşe odun attığımı düşünüyordum :),zaten ateşe odun attığımı düşünüyordum :)
49,49,"Dinleeee :)
Efsane bence ",dinle :) efsane bence
50,50,Tamam bilgi vereceğim :),tamam bilgi vereceğim :)
51,51,Hayallerle yaşayanı Mbappe Neymar Icardi 3 lüsü grup yapar diyosun neyse daha girdik bu yola zevk almaya bakıcaz :D,hayallerle yaşayanı mbappe neymar icardı 3 ölüsü grup yapar diyorsun neyse daha girdik bu yola zevk almaya bakacağız : d
